"label","tweet_id"
"Injured or dead people","'591911437947248640'"
"Other relevant information","'591911487679016960'"
"Not related or irrelevant","'591911554712502273'"
"Sympathy and emotional support","'591911568390000640'"
"Sympathy and emotional support","'591911577550516224'"
"Other relevant information","'591911610886807552'"
"Other relevant information","'591911617916444672'"
"Infrastructure and utilities","'591911659385434112'"
"Other relevant information","'591911677022572545'"
"Other relevant information","'591911682680737792'"
"Sympathy and emotional support","'591911698354872320'"
"Other relevant information","'591911724363718656'"
"Other relevant information","'591911756273856512'"
"Injured or dead people","'591911771977428992'"
"Not related or irrelevant","'591911783855718400'"
"Not related or irrelevant","'591911803459768321'"
"Missing, trapped, or found people","'591911807851233280'"
"Injured or dead people","'591911855339085824'"
"Sympathy and emotional support","'591911951208353793'"
"Not related or irrelevant","'591911954056224768'"
"Other relevant information","'591911988978155520'"
"Shelter and supplies","'591912017914568704'"
"Infrastructure and utilities","'591912029801197568'"
"Infrastructure and utilities","'591912029767618560'"
"Other relevant information","'591912030292017152'"
"Other relevant information","'591912047366918144'"
"Other relevant information","'591912051288576001'"
"Not related or irrelevant","'591912082062249985'"
"Other relevant information","'591912097186975745'"
"Missing, trapped, or found people","'591912156985204736'"
"Infrastructure and utilities","'591912368210317313'"
"Not related or irrelevant","'591912387030163456'"
"Other relevant information","'591912390700052480'"
"Not related or irrelevant","'591912425546387456'"
"Missing, trapped, or found people","'591912430130765825'"
"Infrastructure and utilities","'591912475643224064'"
"Injured or dead people","'591912493049589760'"
"Injured or dead people","'591912511751892992'"
"Other relevant information","'591912578974031872'"
"Missing, trapped, or found people","'591912603137507328'"
"Injured or dead people","'591912615405719552'"
"Other relevant information","'591912626088595456'"
"Missing, trapped, or found people","'591912625904058368'"
"Sympathy and emotional support","'591912635433504771'"
"Infrastructure and utilities","'591912641511174144'"
"Injured or dead people","'591912673798987776'"
"Sympathy and emotional support","'591912703955898368'"
"Other relevant information","'591912704547381248'"
"Injured or dead people","'591912745919848448'"
"Not related or irrelevant","'591912747132166144'"
"Injured or dead people","'591912766279012353'"
"Other relevant information","'591912821870301186'"
"Sympathy and emotional support","'591912900303818752'"
"Injured or dead people","'591912907819978753'"
"Personal updates","'591912918553382912'"
"Not related or irrelevant","'591912988099158016'"
"Injured or dead people","'591913071217549312'"
"Not related or irrelevant","'591913091278897152'"
"Not related or irrelevant","'591913138171170816'"
"Other relevant information","'591913151207120897'"
"Injured or dead people","'591913270044274688'"
"Not related or irrelevant","'591913370573344768'"
"Missing, trapped, or found people","'591913455076016130'"
"Sympathy and emotional support","'591913499661619201'"
"Volunteer or professional services","'591913523334090752'"
"Other relevant information","'591913525284577280'"
"Shelter and supplies","'591913529428475904'"
"Shelter and supplies","'591913587871911939'"
"Not related or irrelevant","'591913642896961536'"
"Not related or irrelevant","'591913655886831617'"
"Not related or irrelevant","'591913658415845376'"
"Sympathy and emotional support","'591913708613279744'"
"Not related or irrelevant","'591913712509919232'"
"Missing, trapped, or found people","'591913758068379648'"
"Shelter and supplies","'591913818705534977'"
"Other relevant information","'591913828733988864'"
"Sympathy and emotional support","'591913829363294209'"
"Other relevant information","'591913842470432769'"
"Personal updates","'591913870479990784'"
"Sympathy and emotional support","'591913871809589249'"
"Not related or irrelevant","'591913875785719808'"
"Injured or dead people","'591913907540885504'"
"Not related or irrelevant","'591913930521350145'"
"Other relevant information","'591913939564265472'"
"Injured or dead people","'591913970602221568'"
"Injured or dead people","'591914090479554560'"
"Other relevant information","'591914098654326784'"
"Not related or irrelevant","'591914179340042240'"
"Other relevant information","'591914184033566720'"
"Other relevant information","'591914275150700545'"
"Other relevant information","'591914278547894272'"
"Volunteer or professional services","'591914280468877313'"
"Injured or dead people","'591914347401748480'"
"Personal updates","'591914387906101248'"
"Injured or dead people","'591914431639982082'"
"Other relevant information","'591914452762501120'"
"Infrastructure and utilities","'591914518508339200'"
"Infrastructure and utilities","'591914565291511808'"
"Not related or irrelevant","'591914610845822976'"
"Sympathy and emotional support","'591914620530532352'"
"Infrastructure and utilities","'591914646631620608'"
"Sympathy and emotional support","'591914656014344193'"
"Other relevant information","'591914665514508288'"
"Shelter and supplies","'591914712369094656'"
"Sympathy and emotional support","'591914727221112832'"
"Not related or irrelevant","'591914732380033024'"
"Not related or irrelevant","'591914735018217472'"
"Other relevant information","'591914738990350337'"
"Sympathy and emotional support","'591914741473357824'"
"Not related or irrelevant","'591914839200690178'"
"Not related or irrelevant","'591914925183803392'"
"Sympathy and emotional support","'591914946457260032'"
"Other relevant information","'591914962878013440'"
"Infrastructure and utilities","'591914982343839745'"
"Not related or irrelevant","'591914992103923712'"
"Sympathy and emotional support","'591914996080087040'"
"Injured or dead people","'591914996860203009'"
"Sympathy and emotional support","'591915001503457280'"
"Other relevant information","'591915011594911744'"
"Other relevant information","'591915020298096640'"
"Sympathy and emotional support","'591915030691450881'"
"Sympathy and emotional support","'591915034634166272'"
"Not related or irrelevant","'591915082717732864'"
"Volunteer or professional services","'591915093153030145'"
"Infrastructure and utilities","'591915100048588800'"
"Sympathy and emotional support","'591915111998173184'"
"Other relevant information","'591915135389700096'"
"Not related or irrelevant","'591915192503685121'"
"Injured or dead people","'591915225881935872'"
"Not related or irrelevant","'591915242596118528'"
"Not related or irrelevant","'591915261604724738'"
"Not related or irrelevant","'591915268873396224'"
"Sympathy and emotional support","'591915277069066240'"
"Sympathy and emotional support","'591915280059760640'"
"Not related or irrelevant","'591915292118290432'"
"Not related or irrelevant","'591915340784861184'"
"Not related or irrelevant","'591915357977227265'"
"Other relevant information","'591915358488932352'"
"Missing, trapped, or found people","'591915360128872449'"
"Injured or dead people","'591915378424619008'"
"Not related or irrelevant","'591915378982428675'"
"Not related or irrelevant","'591915391883948032'"
"Other relevant information","'591915397986779136'"
"Sympathy and emotional support","'591915408409501697'"
"Injured or dead people","'591915422758412289'"
"Other relevant information","'591915475640057858'"
"Other relevant information","'591915479691702272'"
"Other relevant information","'591915481461760002'"
"Sympathy and emotional support","'591915499480489984'"
"Sympathy and emotional support","'591915506094866432'"
"Volunteer or professional services","'591915519084625921'"
"Sympathy and emotional support","'591915523564294144'"
"Other relevant information","'591915589335134209'"
"Sympathy and emotional support","'591915642766393344'"
"Other relevant information","'591915653113782272'"
"Not related or irrelevant","'591915667361783809'"
"Volunteer or professional services","'591915689465683969'"
"Infrastructure and utilities","'591915696998735872'"
"Not related or irrelevant","'591915722718064640'"
"Injured or dead people","'591915739889606657'"
"Sympathy and emotional support","'591915757946167296'"
"Other relevant information","'591915757887426560'"
"Not related or irrelevant","'591915776753475584'"
"Sympathy and emotional support","'591915782939914242'"
"Injured or dead people","'591915800333717505'"
"Not related or irrelevant","'591915800648290304'"
"Not related or irrelevant","'591915839806373888'"
"Sympathy and emotional support","'591915841714671616'"
"Not related or irrelevant","'591915844092952576'"
"Not related or irrelevant","'591915861688119296'"
"Other relevant information","'591915877253193728'"
"Other relevant information","'591915912263049217'"
"Other relevant information","'591915922371280896'"
"Sympathy and emotional support","'591915939660193792'"
"Other relevant information","'591915939983020034'"
"Not related or irrelevant","'591915985189392384'"
"Infrastructure and utilities","'591916010631995392'"
"Missing, trapped, or found people","'591916018525581312'"
"Sympathy and emotional support","'591916018563354624'"
"Volunteer or professional services","'591916022132670465'"
"Other relevant information","'591916027790786561'"
"Sympathy and emotional support","'591916033734225920'"
"Sympathy and emotional support","'591916047483076608'"
"Not related or irrelevant","'591916079007432704'"
"Not related or irrelevant","'591916090713722881'"
"Other relevant information","'591916097827278848'"
"Not related or irrelevant","'591916144216248320'"
"Other relevant information","'591916167171678211'"
"Sympathy and emotional support","'591916196242563072'"
"Infrastructure and utilities","'591916203884482560'"
"Not related or irrelevant","'591916206224846848'"
"Volunteer or professional services","'591916208183619585'"
"Not related or irrelevant","'591916211459395584'"
"Other relevant information","'591916216366800898'"
"Shelter and supplies","'591916220699508736'"
"Sympathy and emotional support","'591916240429568000'"
"Injured or dead people","'591916275078533120'"
"Infrastructure and utilities","'591916452728340480'"
"Infrastructure and utilities","'591916479777345536'"
"Sympathy and emotional support","'591916490728689664'"
"Sympathy and emotional support","'591916534387191808'"
"Sympathy and emotional support","'591916916282884096'"
"Not related or irrelevant","'591916927146033152'"
"Not related or irrelevant","'591917029398949888'"
"Sympathy and emotional support","'591917281912971264'"
"Not related or irrelevant","'591917381326401536'"
"Other relevant information","'591917422401073152'"
"Sympathy and emotional support","'591917429510410240'"
"Other relevant information","'591917456387616768'"
"Not related or irrelevant","'591917623215947776'"
"Sympathy and emotional support","'591917639850655744'"
"Not related or irrelevant","'591917711346651136'"
"Infrastructure and utilities","'591917803273211904'"
"Missing, trapped, or found people","'591917854225661953'"
"Personal updates","'591917867592880129'"
"Other relevant information","'591917890460254210'"
"Not related or irrelevant","'591917976040951808'"
"Shelter and supplies","'591917977848647680'"
"Sympathy and emotional support","'591918127677603840'"
"Sympathy and emotional support","'591918149777383424'"
"Personal updates","'591918208501690368'"
"Sympathy and emotional support","'591918212494827520'"
"Volunteer or professional services","'591918219767713792'"
"Sympathy and emotional support","'591918224129691648'"
"Sympathy and emotional support","'591918229985095680'"
"Not related or irrelevant","'591918232497324032'"
"Not related or irrelevant","'591918240835760128'"
"Other relevant information","'591918243549454336'"
"Not related or irrelevant","'591918280757145601'"
"Other relevant information","'591918281633628160'"
"Not related or irrelevant","'591918310280724480'"
"Sympathy and emotional support","'591918315175477249'"
"Not related or irrelevant","'591918318874861568'"
"Sympathy and emotional support","'591918332082655233'"
"Sympathy and emotional support","'591918388659654656'"
"Other relevant information","'591918419206770688'"
"Not related or irrelevant","'591918436197904384'"
"Other relevant information","'591918453818167296'"
"Sympathy and emotional support","'591918460294144002'"
"Sympathy and emotional support","'591918468452061187'"
"Other relevant information","'591918526140706816'"
"Infrastructure and utilities","'591918535523180545'"
"Sympathy and emotional support","'591918554426920960'"
"Infrastructure and utilities","'591918563209842688'"
"Sympathy and emotional support","'591918569073614848'"
"Injured or dead people","'591918578565259264'"
"Sympathy and emotional support","'591918640494063616'"
"Not related or irrelevant","'591918661025341440'"
"Not related or irrelevant","'591918661360873473'"
"Not related or irrelevant","'591918661780303874'"
"Sympathy and emotional support","'591918661427810304'"
"Other relevant information","'591918701185617921'"
"Sympathy and emotional support","'591918704595636224'"
"Money","'591918734605881345'"
"Not related or irrelevant","'591918755069865984'"
"Sympathy and emotional support","'591918767355109376'"
"Other relevant information","'591918865761734656'"
"Sympathy and emotional support","'591918888683724801'"
"Personal updates","'591918923194474496'"
"Other relevant information","'591918937157304322'"
"Other relevant information","'591918971827388416'"
"Other relevant information","'591918973286912000'"
"Injured or dead people","'591918981474164737'"
"Personal updates","'591918998243127297'"
"Sympathy and emotional support","'591919041008291840'"
"Other relevant information","'591919167885942784'"
"Other relevant information","'591919172721971200'"
"Not related or irrelevant","'591919196763656193'"
"Not related or irrelevant","'591919201452838912'"
"Sympathy and emotional support","'591919227159752704'"
"Not related or irrelevant","'591919245266710529'"
"Sympathy and emotional support","'591919256658440192'"
"Other relevant information","'591919257321152512'"
"Other relevant information","'591919264124178432'"
"Other relevant information","'591919267961905152'"
"Money","'591919317601615873'"
"Sympathy and emotional support","'591919324182532097'"
"Not related or irrelevant","'591919338841579521'"
"Infrastructure and utilities","'591919383804387328'"
"Other relevant information","'591919394273406977'"
"Not related or irrelevant","'591919397456982017'"
"Other relevant information","'591919444319961088'"
"Money","'591919456642699264'"
"Injured or dead people","'591919493405749250'"
"Other relevant information","'591919497579241472'"
"Other relevant information","'591919500829700099'"
"Money","'591919523013341184'"
"Shelter and supplies","'591919526121320448'"
"Not related or irrelevant","'591919527048380416'"
"Not related or irrelevant","'591919564184649728'"
"Not related or irrelevant","'591919636175671296'"
"Injured or dead people","'591919632295931905'"
"Not related or irrelevant","'591919649421271041'"
"Volunteer or professional services","'591919651271114752'"
"Sympathy and emotional support","'591919663266693121'"
"Not related or irrelevant","'591919683256721408'"
"Sympathy and emotional support","'591919702068236289'"
"Sympathy and emotional support","'591919708003299328'"
"Not related or irrelevant","'591919713640325121'"
"Not related or irrelevant","'591919727322255360'"
"Other relevant information","'591919740450279424'"
"Injured or dead people","'591919753154928642'"
"Sympathy and emotional support","'591919764303269889'"
"Other relevant information","'591919786935857152'"
"Not related or irrelevant","'591919818149888000'"
"Not related or irrelevant","'591919842552389633'"
"Injured or dead people","'591919889843118080'"
"Not related or irrelevant","'591919896214265857'"
"Not related or irrelevant","'591919918209196033'"
"Injured or dead people","'591919957262336001'"
"Other relevant information","'591919960139563008'"
"Other relevant information","'591919961754447872'"
"Not related or irrelevant","'591919963847307264'"
"Other relevant information","'591919980666458113'"
"Other relevant information","'591920008189476864'"
"Other relevant information","'591920012648144896'"
"Missing, trapped, or found people","'591920013864341504'"
"Other relevant information","'591920022479568896'"
"Infrastructure and utilities","'591920026841526273'"
"Sympathy and emotional support","'591920044579233792'"
"Sympathy and emotional support","'591920044579233792'"
"Sympathy and emotional support","'591920063558463488'"
"Injured or dead people","'591920103874170880'"
"Injured or dead people","'591920105652629504'"
"Other relevant information","'591920189316403201'"
"Not related or irrelevant","'591920197390376960'"
"Sympathy and emotional support","'591920256739909632'"
"Not related or irrelevant","'591920261357645824'"
"Not related or irrelevant","'591920306639343616'"
"Infrastructure and utilities","'591920317678755840'"
"Not related or irrelevant","'591920325346074624'"
"Sympathy and emotional support","'591920339774345216'"
"Sympathy and emotional support","'591920401170726914'"
"Sympathy and emotional support","'591920413082390529'"
"Other relevant information","'591920443482705920'"
"Other relevant information","'591920477523812352'"
"Sympathy and emotional support","'591920480505868288'"
"Injured or dead people","'591920486663098368'"
"Injured or dead people","'591920514915897344'"
"Sympathy and emotional support","'591920648588505088'"
"Other relevant information","'591920656758886400'"
"Sympathy and emotional support","'591920730482184192'"
"Volunteer or professional services","'591920792037785602'"
"Personal updates","'591920799633768448'"
"Volunteer or professional services","'591920992869580801'"
"Injured or dead people","'591921093276999681'"
"Volunteer or professional services","'591921209681391616'"
"Sympathy and emotional support","'591921274407948288'"
"Injured or dead people","'591921426870964224'"
"Injured or dead people","'591921539412414464'"
"Injured or dead people","'591921549046755328'"
"Sympathy and emotional support","'591921563143839745'"
"Sympathy and emotional support","'591921569531695104'"
"Injured or dead people","'591921682161491968'"
"Volunteer or professional services","'591921690206015488'"
"Not related or irrelevant","'591921698397642752'"
"Personal updates","'591921731964567552'"
"Volunteer or professional services","'591921768585039872'"
"Other relevant information","'591921788956889089'"
"Other relevant information","'591921812935680000'"
"Other relevant information","'591921814147878913'"
"Other relevant information","'591921814118338560'"
"Sympathy and emotional support","'591921822968385536'"
"Sympathy and emotional support","'591921835408793600'"
"Injured or dead people","'591921910738325505'"
"Sympathy and emotional support","'591929005382705152'"
"Injured or dead people","'591942814050684929'"
"Other relevant","'591943492244348928'"
"Not relevant","'591944612203266049'"
"Injured or dead people","'591946601272213504'"
"Volunteer or professional services","'591947989792464898'"
"Response efforts","'591948283397935104'"
"Other relevant","'591960244647043072'"
"Personal updates","'591960778636328960'"
"Sympathy and emotional support","'591960781866049537'"
"Not related or irrelevant","'591960801063346176'"
"Missing, trapped, or found people","'591960807673593856'"
"Sympathy and emotional support","'591960807950286848'"
"Infrastructure and utilities","'591960922421342208'"
"Not related or irrelevant","'591960945007538176'"
"Sympathy and emotional support","'591960954868527104'"
"Sympathy and emotional support","'591960962409885696'"
"Sympathy and emotional support","'591960962623668224'"
"Sympathy and emotional support","'591960967388364801'"
"Not related or irrelevant","'591960979908362240'"
"Missing, trapped, or found people","'591960998275260417'"
"Sympathy and emotional support","'591961009566396416'"
"Sympathy and emotional support","'591961012552601601'"
"Infrastructure and utilities","'591961049290571776'"
"Sympathy and emotional support","'591961053803642880'"
"Sympathy and emotional support","'591961061865066498'"
"Sympathy and emotional support","'591961063127580672'"
"Sympathy and emotional support","'591961063945596930'"
"Sympathy and emotional support","'591961067091136513'"
"Sympathy and emotional support","'591961072296333312'"
"Infrastructure and utilities","'591961164529053696'"
"Other relevant information","'591961172154327041'"
"Infrastructure and utilities","'591961183525195777'"
"Sympathy and emotional support","'591961195965448192'"
"Not related or irrelevant","'591961218719481857'"
"Sympathy and emotional support","'591961237765894144'"
"Infrastructure and utilities","'591961252173217793'"
"Sympathy and emotional support","'591961255805616128'"
"Volunteer or professional services","'591961256623407104'"
"Infrastructure and utilities","'591961259513421824'"
"Other relevant information","'591961266928881664'"
"Other relevant information","'591961222511075328'"
"Sympathy and emotional support","'591961271173537792'"
"Other relevant information","'591961332049580032'"
"Sympathy and emotional support","'591961333488295936'"
"Infrastructure and utilities","'591961418041135104'"
"Sympathy and emotional support","'591961423644790784'"
"Sympathy and emotional support","'591961427826507777'"
"Other relevant information","'591961441302773762'"
"Volunteer or professional services","'591961514795540480'"
"Other relevant information","'591961481782099969'"
"Sympathy and emotional support","'591961518251450368'"
"Sympathy and emotional support","'591961499821826049'"
"Sympathy and emotional support","'591961538602213376'"
"Not related or irrelevant","'591961661570945024'"
"Not related or irrelevant","'591961674137137152'"
"Infrastructure and utilities","'591961697012850688'"
"Missing, trapped, or found people","'591961721322885120'"
"Other relevant information","'591961748229357568'"
"Sympathy and emotional support","'591961775576326144'"
"Sympathy and emotional support","'591961789409165313'"
"Other relevant information","'591961791883784192'"
"Not related or irrelevant","'591961803950686208'"
"Other relevant information","'591961810909016068'"
"Infrastructure and utilities","'591961829728882689'"
"Volunteer or professional services","'591961929603620865'"
"Not related or irrelevant","'591961996054126593'"
"Not related or irrelevant","'591962023535095809'"
"Sympathy and emotional support","'591961993508040704'"
"Infrastructure and utilities","'591962041314877440'"
"Sympathy and emotional support","'591962038181691392'"
"Other relevant information","'591962049636335616'"
"Not related or irrelevant","'591962060340199425'"
"Sympathy and emotional support","'591962064157077504'"
"Sympathy and emotional support","'591962206008385536'"
"Sympathy and emotional support","'591962232562515969'"
"Sympathy and emotional support","'591962252477071360'"
"Sympathy and emotional support","'591962242960084992'"
"Sympathy and emotional support","'591962309301379075'"
"Money","'591962349952585728'"
"Sympathy and emotional support","'591962350720327680'"
"Sympathy and emotional support","'591962476561969152'"
"Not related or irrelevant","'591962510221127681'"
"Other relevant information","'591962520933433346'"
"Sympathy and emotional support","'591962531159252992'"
"Sympathy and emotional support","'591962547349278720'"
"Sympathy and emotional support","'591962565166542850'"
"Sympathy and emotional support","'591962578286350338'"
"Sympathy and emotional support","'591962593423728640'"
"Sympathy and emotional support","'591962607738839040'"
"Other relevant information","'591962621970092032'"
"Sympathy and emotional support","'591962627393236992'"
"Sympathy and emotional support","'591962628261597184'"
"Other relevant information","'591962723212087296'"
"Infrastructure and utilities","'591962730342395904'"
"Money","'591962798587912192'"
"Sympathy and emotional support","'591962774139338753'"
"Not related or irrelevant","'591962797698854912'"
"Sympathy and emotional support","'591962840489164802'"
"Sympathy and emotional support","'591962845111160833'"
"Sympathy and emotional support","'591962851310379008'"
"Volunteer or professional services","'591962858524573696'"
"Sympathy and emotional support","'591962862005944322'"
"Sympathy and emotional support","'591962870818205696'"
"Sympathy and emotional support","'591962873934417920'"
"Sympathy and emotional support","'591963006411517952'"
"Other relevant information","'591963016414924801'"
"Other relevant information","'591963005576941568'"
"Money","'591963006466035712'"
"Other relevant information","'591963010589065216'"
"Sympathy and emotional support","'591963050871300096'"
"Sympathy and emotional support","'591963055484985344'"
"Money","'591963085851664384'"
"Sympathy and emotional support","'591963091836928000'"
"Other relevant information","'591963091992186880'"
"Missing, trapped, or found people","'591963108907692034'"
"Sympathy and emotional support","'591963223974387715'"
"Sympathy and emotional support","'591963236678774785'"
"Response efforts","'591963241321926658'"
"Infrastructure damage","'591963224670613507'"
"Other relevant information","'591963270279364608'"
"Sympathy and emotional support","'591963275409121282'"
"Missing, trapped, or found people","'591963288692338688'"
"Missing, trapped, or found people","'591963299622694913'"
"Sympathy and emotional support","'591963309634494464'"
"Sympathy and emotional support","'591963311928963072'"
"Sympathy and emotional support","'591963344610856961'"
"Not related or irrelevant","'591963347995734017'"
"Sympathy and emotional support","'591963378945523712'"
"Sympathy and emotional support","'591963542842114048'"
"Infrastructure damage","'591963543655882752'"
"Sympathy and emotional support","'591963567387254786'"
"Missing, trapped, or found people","'591963569849171969'"
"Sympathy and emotional support","'591963571971555328'"
"Not related or irrelevant","'591963585561153537'"
"Sympathy and emotional support","'591963593366753280'"
"Sympathy and emotional support","'591963611704102914'"
"Sympathy and emotional support","'591963617735507968'"
"Missing, trapped, or found people","'591963750967562240'"
"Not related or irrelevant","'591963754868387840'"
"Sympathy and emotional support","'591963728930689024'"
"Sympathy and emotional support","'591963729392214016'"
"Not related or irrelevant","'591963796022894592'"
"Sympathy and emotional support","'591963796706492416'"
"Other relevant information","'591963805527056386'"
"Other relevant information","'591963794487771136'"
"Caution and advice","'591963810518290432'"
"Sympathy and emotional support","'591963851094130688'"
"Volunteer or professional services","'591963864415219712'"
"Not related or irrelevant","'591963874091507712'"
"Sympathy and emotional support","'591963979955740673'"
"Sympathy and emotional support","'591963982644187136'"
